belief_speaking,truth_seeking
basically,actually
believe,analyze
confide,assess
consider,correct
envisage,correction
feel,determine
frankly,evaluate
guess,evidence
obvious,examine
obviously,exploration
of course,fact
opinion,information
plainly,inspect
position,investigate
presume,proof
probably,prove
seem,question
sensation,quiz
sentiment,real
suggestion,reality
suppose,rectify
surely,research
think,revise
trust,sample
view,science
claim,scrutinize
contemplate,search
contention,specify
genuinely,supervise
hint,test
judge,trace
look,track
ponder,trial
signal,truth
suggest,validate
try,verify
virtually,observe
